iter	Passed	Remaining
0	3	2071
1	7	2100
2	11	2048
3	14	2013
4	18	2052
5	24	2182
6	27	2109
7	30	2050
8	41	2453
9	50	2728
10	58	2827
11	72	3219
12	78	3207
13	88	3362
14	92	3292
15	141	4681
16	171	5350
17	174	5142
18	178	4966
19	186	4903
20	188	4732
21	192	4594
22	196	4481
23	237	5172
24	240	5031
25	244	4897
26	254	4910
27	257	4778
28	265	4736
29	287	4948
30	290	4833
31	330	5321
32	334	5204
33	337	5089
34	340	4974
35	367	5209
36	377	5203
37	380	5096
38	396	5168
39	399	5065
40	403	4977
41	417	5023
42	436	5115
43	439	5023
44	441	4928
45	448	4887
46	461	4914
47	464	4832
48	468	4764
49	473	4702
50	477	4644
51	480	4575
52	488	4553
53	491	4488
54	523	4680
55	526	4618
56	529	4555
57	535	4517
58	540	4469
59	554	4500
60	557	4443
61	567	4439
62	571	4387
63	584	4412
64	587	4358
65	590	4300
66	592	4246
67	598	4213
68	603	4183
69	606	4134
70	609	4088
71	613	4050
72	640	4160
73	649	4154
74	661	4163
75	665	4127
76	669	4088
77	674	4058
78	703	4168
79	707	4131
80	721	4151
81	725	4115
82	728	4073
83	747	4119
84	755	4104
85	758	4067
86	767	4060
87	772	4027
88	787	4050
89	806	4092
90	810	4063
91	815	4031
92	843	4115
93	852	4109
94	855	4071
95	859	4038
96	873	4050
97	891	4084
98	899	4070
99	924	4134
100	934	4126
101	938	4095
102	945	4077
103	956	4075
104	965	4064
105	970	4037
106	1021	4200
107	1037	4216
108	1041	4185
109	1048	4167
110	1052	4135
111	1085	4214
112	1114	4279
113	1125	4273
114	1128	4240
115	1133	4211
116	1143	4202
117	1148	4176
118	1243	4473
119	1248	4441
120	1252	4408
121	1263	4403
122	1271	4382
123	1287	4392
124	1298	4382
125	1388	4638
126	1396	4618
127	1401	4586
128	1406	4557
129	1413	4534
130	1420	4511
131	1431	4499
132	1501	4673
133	1510	4655
134	1517	4631
135	1520	4596
136	1526	4568
137	1531	4540
138	1600	4697
139	1604	4665
140	1608	4632
141	1614	4605
142	1622	4584
143	1626	4552
144	1632	4525
145	1680	4615
146	1689	4596
147	1693	4564
148	1696	4531
149	1700	4500
150	1705	4472
151	1745	4536
152	1749	4504
153	1768	4511
154	1771	4479
155	1775	4449
156	1783	4429
157	1789	4406
158	1798	4387
159	1801	4356
160	1804	4327
161	1816	4317
162	1822	4293
