Age,Gender,Student,Non-student,Internship_Experience,Year_of_Study,Marital_Status,Work_Experience,Internet_Availability,Research_Experience,Availability,Language_Proficiency,Hours_Dedicated,Continent,Soft_Skills,Internship_success
27,Non-Binary,True,False,0,4,Divorced,5,None,0,Full-time,Beginner,27,Australia,Poor,0
38,Male,True,False,1,2,Single,7,Dial-Up,0,Flexible,Intermediate,28,South America,Poor,0
31,Female,False,True,5,-1,Single,4,Dial-Up,2,Full-time,Intermediate,8,North America,Good,1
36,Male,False,True,4,-1,Widowed,6,None,3,Full-time,Intermediate,39,Australia,Poor,1
36,Male,True,False,5,3,Widowed,3,Dial-Up,0,Full-time,Intermediate,11,South America,Poor,0
49,Non-Binary,True,False,5,4,Widowed,7,High-Speed,1,Flexible,Beginner,9,Europe,Excellent,1
47,Male,True,False,1,2,Divorced,5,High-Speed,4,Part-time,Advanced,28,Australia,Excellent,0
45,Female,False,True,1,-1,Single,5,High-Speed,2,Part-time,Advanced,18,Asia,Excellent,1
46,Female,False,True,1,-1,Divorced,0,High-Speed,3,Full-time,Advanced,29,Africa,Excellent,0
49,Non-Binary,False,True,3,-1,Single,2,None,1,Full-time,Advanced,36,North America,Average,1
42,Non-Binary,False,True,0,-1,Married,3,None,2,Part-time,Advanced,38,South America,Average,1
41,Female,True,False,5,3,Married,4,High-Speed,0,Full-time,Advanced,19,Africa,Good,1
38,Female,False,True,1,-1,Single,3,High-Speed,1,Flexible,Native,21,Europe,Excellent,1
36,Non-Binary,False,True,0,-1,Widowed,1,None,3,Full-time,Intermediate,11,Antarctica,Good,0
31,Non-Binary,False,True,3,-1,Widowed,5,High-Speed,0,Full-time,Advanced,30,Australia,Excellent,0
39,Male,True,False,2,4,Widowed,3,Dial-Up,4,Part-time,Beginner,14,South America,Average,0
30,Non-Binary,True,False,3,1,Single,7,Dial-Up,4,Part-time,Intermediate,37,Europe,Good,1
34,Male,False,True,2,-1,Single,6,None,1,Flexible,Intermediate,31,Australia,Poor,0
